2021-01-17 at 14:22:26 EET : WeatherInformation{longitude=23.8743, latitude=47.143, iconId='01d', description='clear sky', temperature=-6.7, pressure=1015.0, humidity=79.0, windSpeed=2.57}
2021-01-17 at 14:22:27 EET : WeatherInformation{longitude=23.8743, latitude=47.143, iconId='01d', description='clear sky', temperature=-6.7, pressure=1015.0, humidity=79.0, windSpeed=2.57}
2021-01-17 at 14:22:30 EET : WeatherInformation{longitude=26.0963, latitude=44.4397, iconId='02d', description='few clouds', temperature=-2.93, pressure=1016.0, humidity=63.0, windSpeed=3.09}
2021-01-17 at 14:22:43 EET : WeatherInformation{longitude=23.8743, latitude=47.143, iconId='01d', description='clear sky', temperature=-6.7, pressure=1015.0, humidity=79.0, windSpeed=2.57}
2021-01-17 at 14:37:51 EET : WeatherInformation{longitude=23.8743, latitude=47.143, iconId='01d', description='clear sky', temperature=-6.73, pressure=1015.0, humidity=79.0, windSpeed=2.57}
2021-01-17 at 14:37:51 EET : WeatherInformation{longitude=23.8743, latitude=47.143, iconId='01d', description='clear sky', temperature=-6.73, pressure=1015.0, humidity=79.0, windSpeed=2.57}
2021-01-17 at 14:37:54 EET : WeatherInformation{longitude=26.0967, latitude=44.4447, iconId='02d', description='few clouds', temperature=-2.93, pressure=1016.0, humidity=63.0, windSpeed=3.09}
2021-01-17 at 14:37:56 EET : WeatherInformation{longitude=23.8743, latitude=47.143, iconId='01d', description='clear sky', temperature=-6.73, pressure=1015.0, humidity=79.0, windSpeed=2.57}
2021-01-17 at 14:37:57 EET : WeatherInformation{longitude=23.8743, latitude=47.143, iconId='01d', description='clear sky', temperature=-6.73, pressure=1015.0, humidity=79.0, windSpeed=2.57}
2021-01-17 at 14:39:18 EET : WeatherInformation{longitude=23.8743, latitude=47.143, iconId='01d', description='clear sky', temperature=-6.73, pressure=1015.0, humidity=79.0, windSpeed=2.57}
2021-01-17 at 14:40:35 EET : WeatherInformation{longitude=23.8743, latitude=47.143, iconId='01d', description='clear sky', temperature=-6.73, pressure=1015.0, humidity=79.0, windSpeed=2.57}
2021-01-17 at 14:42:21 EET : WeatherInformation{longitude=23.8743, latitude=47.143, iconId='01d', description='clear sky', temperature=-6.73, pressure=1015.0, humidity=79.0, windSpeed=2.57}
2021-01-17 at 14:42:21 EET : WeatherInformation{longitude=23.8743, latitude=47.143, iconId='01d', description='clear sky', temperature=-6.73, pressure=1015.0, humidity=79.0, windSpeed=2.57}
2021-01-17 at 14:42:26 EET : WeatherInformation{longitude=26.0963, latitude=44.4397, iconId='02d', description='few clouds', temperature=-2.93, pressure=1016.0, humidity=63.0, windSpeed=3.09}
2021-01-17 at 14:47:13 EET : WeatherInformation{longitude=23.8743, latitude=47.143, iconId='01d', description='clear sky', temperature=-6.73, pressure=1015.0, humidity=79.0, windSpeed=2.57}
2021-01-17 at 14:47:13 EET : WeatherInformation{longitude=23.8743, latitude=47.143, iconId='01d', description='clear sky', temperature=-6.73, pressure=1015.0, humidity=79.0, windSpeed=2.57}
2021-01-17 at 14:47:16 EET : WeatherInformation{longitude=26.0963, latitude=44.4397, iconId='02d', description='few clouds', temperature=-2.93, pressure=1016.0, humidity=63.0, windSpeed=3.09}
2021-01-17 at 14:47:23 EET : WeatherInformation{longitude=23.8743, latitude=47.143, iconId='01d', description='clear sky', temperature=-6.73, pressure=1015.0, humidity=79.0, windSpeed=2.57}
2021-01-17 at 14:47:25 EET : WeatherInformation{longitude=23.8743, latitude=47.143, iconId='01d', description='clear sky', temperature=-6.73, pressure=1015.0, humidity=79.0, windSpeed=2.57}
2021-01-17 at 14:47:27 EET : WeatherInformation{longitude=23.8743, latitude=47.143, iconId='01d', description='clear sky', temperature=-6.73, pressure=1015.0, humidity=79.0, windSpeed=2.57}
2021-01-17 at 14:47:29 EET : WeatherInformation{longitude=26.0963, latitude=44.4397, iconId='02d', description='few clouds', temperature=-2.93, pressure=1016.0, humidity=63.0, windSpeed=3.09}
2021-01-17 at 14:47:41 EET : WeatherInformation{longitude=23.8743, latitude=47.143, iconId='01d', description='clear sky', temperature=-6.73, pressure=1015.0, humidity=79.0, windSpeed=2.57}
2021-01-17 at 14:48:33 EET : WeatherInformation{longitude=23.8743, latitude=47.143, iconId='01d', description='clear sky', temperature=-6.73, pressure=1015.0, humidity=79.0, windSpeed=2.57}
2021-01-17 at 14:48:33 EET : WeatherInformation{longitude=23.8743, latitude=47.143, iconId='01d', description='clear sky', temperature=-6.73, pressure=1015.0, humidity=79.0, windSpeed=2.57}
2021-01-17 at 14:48:37 EET : WeatherInformation{longitude=2.349, latitude=48.8647, iconId='04d', description='broken clouds', temperature=7.13, pressure=1024.0, humidity=81.0, windSpeed=4.12}
2021-01-17 at 14:48:46 EET : WeatherInformation{longitude=23.8743, latitude=47.143, iconId='01d', description='clear sky', temperature=-6.73, pressure=1015.0, humidity=79.0, windSpeed=2.57}
2021-01-17 at 14:48:50 EET : WeatherInformation{longitude=2.349, latitude=48.8647, iconId='04d', description='broken clouds', temperature=7.13, pressure=1024.0, humidity=81.0, windSpeed=4.12}
2021-01-17 at 14:48:52 EET : WeatherInformation{longitude=23.8743, latitude=47.143, iconId='01d', description='clear sky', temperature=-6.73, pressure=1015.0, humidity=79.0, windSpeed=2.57}
2021-01-17 at 14:48:54 EET : WeatherInformation{longitude=26.0963, latitude=44.4397, iconId='02d', description='few clouds', temperature=-2.93, pressure=1016.0, humidity=63.0, windSpeed=3.09}
2021-01-17 at 14:48:56 EET : WeatherInformation{longitude=23.8743, latitude=47.143, iconId='01d', description='clear sky', temperature=-6.73, pressure=1015.0, humidity=79.0, windSpeed=2.57}
2021-01-17 at 14:48:58 EET : WeatherInformation{longitude=26.0963, latitude=44.4397, iconId='02d', description='few clouds', temperature=-2.93, pressure=1016.0, humidity=63.0, windSpeed=3.09}
2021-01-17 at 14:49:31 EET : WeatherInformation{longitude=23.8743, latitude=47.143, iconId='01d', description='clear sky', temperature=-6.73, pressure=1015.0, humidity=79.0, windSpeed=2.57}
2021-01-17 at 14:49:31 EET : WeatherInformation{longitude=23.8743, latitude=47.143, iconId='01d', description='clear sky', temperature=-6.73, pressure=1015.0, humidity=79.0, windSpeed=2.57}
2021-01-17 at 14:49:33 EET : WeatherInformation{longitude=2.349, latitude=48.8647, iconId='04d', description='broken clouds', temperature=7.13, pressure=1024.0, humidity=81.0, windSpeed=4.12}
2021-01-17 at 14:49:37 EET : WeatherInformation{longitude=23.8743, latitude=47.143, iconId='01d', description='clear sky', temperature=-6.73, pressure=1015.0, humidity=79.0, windSpeed=2.57}
2021-01-17 at 14:49:39 EET : WeatherInformation{longitude=26.0963, latitude=44.4397, iconId='02d', description='few clouds', temperature=-2.93, pressure=1016.0, humidity=63.0, windSpeed=3.09}
2021-01-17 at 14:54:14 EET : WeatherInformation{longitude=23.8743, latitude=47.143, iconId='01d', description='clear sky', temperature=-6.71, pressure=1015.0, humidity=79.0, windSpeed=2.06}
2021-01-17 at 14:54:14 EET : WeatherInformation{longitude=23.8743, latitude=47.143, iconId='01d', description='clear sky', temperature=-6.71, pressure=1015.0, humidity=79.0, windSpeed=2.06}
2021-01-17 at 14:54:16 EET : WeatherInformation{longitude=2.349, latitude=48.8647, iconId='04d', description='broken clouds', temperature=7.13, pressure=1024.0, humidity=81.0, windSpeed=4.12}
2021-01-17 at 14:57:34 EET : WeatherInformation{longitude=23.8743, latitude=47.143, iconId='01d', description='clear sky', temperature=-6.71, pressure=1015.0, humidity=79.0, windSpeed=2.06}
2021-01-17 at 14:57:34 EET : WeatherInformation{longitude=23.8743, latitude=47.143, iconId='01d', description='clear sky', temperature=-6.71, pressure=1015.0, humidity=79.0, windSpeed=2.06}
2021-01-17 at 14:57:36 EET : WeatherInformation{longitude=26.0983, latitude=44.4355, iconId='02d', description='few clouds', temperature=-2.93, pressure=1016.0, humidity=63.0, windSpeed=2.57}
2021-01-17 at 14:57:38 EET : WeatherInformation{longitude=23.8743, latitude=47.143, iconId='01d', description='clear sky', temperature=-6.71, pressure=1015.0, humidity=79.0, windSpeed=2.06}
2021-01-17 at 14:57:45 EET : WeatherInformation{longitude=26.0983, latitude=44.4355, iconId='02d', description='few clouds', temperature=-2.93, pressure=1016.0, humidity=63.0, windSpeed=2.57}
2021-01-17 at 15:04:47 EET : WeatherInformation{longitude=23.8743, latitude=47.143, iconId='01d', description='clear sky', temperature=-6.72, pressure=1015.0, humidity=79.0, windSpeed=2.06}
2021-01-17 at 15:04:47 EET : WeatherInformation{longitude=23.8743, latitude=47.143, iconId='01d', description='clear sky', temperature=-6.72, pressure=1015.0, humidity=79.0, windSpeed=2.06}
2021-01-17 at 15:04:52 EET : WeatherInformation{longitude=26.0983, latitude=44.4355, iconId='02d', description='few clouds', temperature=-2.93, pressure=1016.0, humidity=63.0, windSpeed=2.57}
2021-01-17 at 15:06:00 EET : WeatherInformation{longitude=23.8743, latitude=47.143, iconId='01d', description='clear sky', temperature=-6.72, pressure=1015.0, humidity=79.0, windSpeed=2.06}
2021-01-17 at 15:06:00 EET : WeatherInformation{longitude=23.8743, latitude=47.143, iconId='01d', description='clear sky', temperature=-6.72, pressure=1015.0, humidity=79.0, windSpeed=2.06}
2021-01-17 at 15:06:03 EET : WeatherInformation{longitude=2.3522, latitude=48.8566, iconId='04d', description='broken clouds', temperature=7.08, pressure=1024.0, humidity=81.0, windSpeed=4.12}
2021-01-17 at 15:09:02 EET : WeatherInformation{longitude=23.8743, latitude=47.143, iconId='01d', description='clear sky', temperature=-6.72, pressure=1015.0, humidity=79.0, windSpeed=2.06}
2021-01-17 at 15:09:02 EET : WeatherInformation{longitude=23.8743, latitude=47.143, iconId='01d', description='clear sky', temperature=-6.72, pressure=1015.0, humidity=79.0, windSpeed=2.06}
2021-01-17 at 15:09:19 EET : WeatherInformation{longitude=23.8743, latitude=47.143, iconId='01d', description='clear sky', temperature=-6.72, pressure=1015.0, humidity=79.0, windSpeed=2.06}
2021-01-17 at 15:09:19 EET : WeatherInformation{longitude=23.8743, latitude=47.143, iconId='01d', description='clear sky', temperature=-6.72, pressure=1015.0, humidity=79.0, windSpeed=2.06}
2021-01-17 at 15:12:25 EET : WeatherInformation{longitude=23.8743, latitude=47.143, iconId='01d', description='clear sky', temperature=-6.72, pressure=1015.0, humidity=79.0, windSpeed=2.06}
2021-01-17 at 15:12:25 EET : WeatherInformation{longitude=23.8743, latitude=47.143, iconId='01d', description='clear sky', temperature=-6.72, pressure=1015.0, humidity=79.0, windSpeed=2.06}
2021-01-17 at 15:12:28 EET : WeatherInformation{longitude=26.0996, latitude=44.4446, iconId='02d', description='few clouds', temperature=-2.93, pressure=1016.0, humidity=63.0, windSpeed=2.57}
2021-01-17 at 15:16:35 EET : WeatherInformation{longitude=23.8743, latitude=47.143, iconId='02d', description='few clouds', temperature=-6.7, pressure=1015.0, humidity=79.0, windSpeed=1.54}
2021-01-17 at 15:16:35 EET : WeatherInformation{longitude=23.8743, latitude=47.143, iconId='02d', description='few clouds', temperature=-6.7, pressure=1015.0, humidity=79.0, windSpeed=1.54}
2021-01-17 at 15:16:38 EET : WeatherInformation{longitude=26.0996, latitude=44.4446, iconId='02d', description='few clouds', temperature=-2.93, pressure=1016.0, humidity=63.0, windSpeed=2.57}
2021-01-17 at 15:16:40 EET : WeatherInformation{longitude=23.8743, latitude=47.143, iconId='02d', description='few clouds', temperature=-6.7, pressure=1015.0, humidity=79.0, windSpeed=1.54}
2021-01-17 at 15:16:41 EET : WeatherInformation{longitude=26.0996, latitude=44.4446, iconId='02d', description='few clouds', temperature=-2.93, pressure=1016.0, humidity=63.0, windSpeed=2.57}
2021-01-17 at 15:16:42 EET : WeatherInformation{longitude=2.3522, latitude=48.8566, iconId='04d', description='broken clouds', temperature=7.09, pressure=1024.0, humidity=81.0, windSpeed=4.12}
